Original DOI,Citing_DOI,Title,Abstract,Authors,Authors Affiliation,Journal,Published Year
10.1002/ppap.201600098,10.1029/2024JD042121,cumulative effects of lightning electromagnetic pulses on the lower ionosphere,"lightning strokes emit electromagnetic pulses that interact with the lower ionosphere. one manifestation of this interaction are elves: ring shaped light emissions from altitudes around 85 km above ground produced by active thunderstorms. perturbations to the conductivity at those altitudes relax with time scales longer than 10 min and therefore one strong pulse may affect the features of subsequent pulses. here we develop a simplified model to investigate this possibility. we apply this model to thunderstorms with a copious production of high peak current strokes, finding changes in the altitude profile of light emissions for elves at different stages of the thunderstorm evolution.","Luque, A.;Li, D.;Bjørge-Engeland, I.;Lehtinen, N. G.;Marisaldi, M.;Østgaard, N.",universitetet i bergen;csic instituto de astrofísica de andalucía (iaa);technical university of denmark,journal of geophysical research: atmospheres,2025
10.1002/ppap.201600098,10.1021/acs.jpcc.4c06369,plasma assisted partial methane oxidation. part i: one dimensional statistical modeling of a dielectric barrier discharge reactor,"this paper presents an original one dimensional statistical model designed to complement experimental data from a practical dielectric barrier discharge (dbd) reactor. the experimental setup consists of a plasma assisted reactor with gas injection composed solely of ch4 and o2. the numerical procedure uses electrical measurements to provide a realistic description of the power consumption and the current flowing through the gas, in a complex scenario where approximately one hundred current peaks are measured per electrical half period. a plasma kinetic model is then used to analyze the chemistry and characteristic times of both isolated discharges and a representative train of discharges occurring within the reactor. these times are used to optimize the computational costs and to select the most appropriate kinetic schemes for the gas phase, whether in a plasma or quasi thermodynamic equilibrium state. this approach also allows the separation of fast transformations (plasma) occurring at constant volume, from slower transformations occurring at constant pressure. the statistical approach, based on a monte carlo method, clearly identifies the assumptions required to reduce the real complexity of the dbd reactor to a 1d flow model. the combination of chromatographic measurements at the reactor outlet and numerical simulations provides the heterogeneity factor of the discharges, which is identified as a key parameter in the model. although the flow can be considered stationary on average, the obtained value reveals a highly heterogeneous spatial distribution of the discharges within the reactor. thus, the numerical results suggest that the gases passing through the reactor are rarely in a plasma state.","Saadana, Mohamed;Al Zayed, Zeina;Oueslati, Hanen;Barléon, Nicolas;Robin, Vincent;Fourré, Élodie;Batiot-Dupeyrat, Catherine;Rossignol, Sylvie",université de poitiers;cerfacs;université de limoges,journal of physical chemistry c,2025
10.1002/ppap.201600098,10.1088/1361-6595/adc482,electron populations and neutralization process in the plume of a gridded ion thruster,"in order to assess the importance of collisional processes in the neutralization of a gridded ion thruster plume this study presents a series of simulations carried out with a planar, full pic code provided of a library of electron, ion and neutral collisions. in particular, we find that the inclusion of electron inelastic collisions, such as ionization and excitation, results fundamental in the generation of a population of electrons trapped in the plume s potential well, which play a major role in the neutralization of the plume and in the formation of the electric potential map. a further investigation is therefore carried out on the properties of the electron populations present in the plume, suggesting that the trapped population results mostly insensitive to the emission properties of the cathode, but displays a strong dependence on the inclusion of inelastic collisions and a slow approach to stationary conditions dictated by the timescales of these collisions. given the symmetry of the plume bulk even in presence of an externally mounted cathode, we further extend the study to an axisymmetric simulation case with an annular cathode, that allows the evaluation of a three dimensional expansion process. the build up of the trapped electron population in this case is even slower, because of the smaller neutral density observed when expanding the plume in three dimensions, and an acceleration strategy that speeds up the approach to steady state without altering it is therefore proposed. nevertheless, the main governing physical processes observed in the planar case remain prominent also in this latter case.","Guaita, M.;Marín-Cebrián, A.;Merino, M.;Ahedo, E.;Cipriani, F.;Dannenmayer, K.",estec european space research and technology centre;universidad carlos iii de madrid,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1088/2632-2153/adaca1,efficient monte carlo simulation of streamer discharges with deep learning denoising models,"electric breakdown in non conducting gases is a complex process that in its first stages is characterized by filamentary discharges called streamers. streamer dynamics are inherently nonlinear and span broad temporal and spatial scales, making numerical simulation challenging. although monte carlo methods are intuitive and they model the full electron energy distribution without a priori prescriptions, they suffer from artificial sampling noise which, combined with the non linearity of streamers, distorts their evolution. here we investigate the use of deep learning techniques to mitigate the noise introduced by monte carlo sampling. we observe that traditional techniques for noise reduction in images are not satisfactory because they do not impose strict conservation of electric charge. then we present a charge conserving denoising filter to improve the efficiency of monte carlo simulations of streamers.","Bayo-Muñoz, F. M.;Malagón-Romero, A.;Luque, A.",csic instituto de astrofísica de andalucía (iaa);centrum wiskunde & informatica,machine learning: science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6463/ad9bc2,numerical investigation of the bridging and current flow of a positive dc streamer using a 1.5d model,"single streamers, at nanosecond timescales, can be simulated using detailed computational models with a high dimensional representation. these models are computationally impractical for parametric explorations and simulation of longer times, that can follow many streamer pulsations and the influence of one streamer burst on the next. this work develops a 1.5d model of a positive dc streamer for simulations beyond the electrode gap bridging phase, and uses it to parametrically explore the impact of different terms and operational parameters. the geometry of interest is that of a tip to plane electrode configuration under dc voltage, and the simulation is followed for the duration of one current pulse (order 500 ns). the numerical model uses an axisymmetric boundary element method to solve for the electric field, as well as a stack of 3 different transient solvers to improve efficiency and allow solving over longer timescales. the model is able to resolve the development of the cathode sheath during the streamer bridging phase using a kinetic flux boundary condition. it also gives qualitative agreement to current waveforms using an equivalent experimental setup. the different phases of the current pulse (streamer propagation, bridging, and current flow phase) are discussed in detail.","Strobel, L. R.;Guerra-Garcia, C.",mit school of engineering,journal of physics d: applied physics,2025
10.1002/ppap.201600098,10.1088/1361-6595/adb885,effective secondary electron yields for different surface materials in capacitively coupled plasmas,"processes at the plasma boundaries, including the electrodes, can significantly influence plasma properties, among them the plasma density, the flux energy distribution of various particle species, etc. the emission of secondary electrons, in particular, can lead to ionization avalanches, which strongly increase the plasma density and change the discharge operation mode as a function of the operating conditions. using reliable values to characterize the efficiency of such processes is indispensable for accurate numerical modeling. there is, however, a lack of such data for surface coefficients for arbitrary combinations of the plasma species and electrode materials and surface conditions. in this work, we investigate the to mode mode transition induced by changes of the operating conditions (voltage, pressure) in capacitively coupled argon plasmas for different electrode surface materials (copper, nickel, gold, aluminum, and stainless steel) and target the determination of the effective in situ secondary electron emission coefficient, . the first is accomplished by phase resolved optical emission spectroscopy applied to measure the spatio temporal distribution of the electron impact excitation rate from the ground state into a high threshold energy level of a tracer gas (neon). the studies are conducted for pressures between 50 pa and 200 pa and voltage amplitudes ranging from 150 v to 350 v at a driving frequency of 13.56 mhz. a transition from the to the mode is shown to take place at different pressures for different materials. the combination of these measurements with particle in cell / monte carlo collisions simulations employing a range of values allows the determination of the effective in situ electron yield for the given set of operating conditions. the simulations also shed light on the contributions of the various species, argon ions, metastable atoms, and vacuum ultraviolet photons to electron emission from the electrodes. the findings suggest that for precise modeling individual secondary electron yields specific to different electrode surface materials should be used and multiple species should be included in the models that describe secondary electron emission at the electrodes.","Beckfeld, Florian;Masheyeva, Ranna;Derzsi, Aranka;Schulenberg, David A.;Korolov, Ihor;Bock, Claudia;Schulze, Julian;Donkó, Zoltán",satbayev university;ruhr universitat bochum;wigner research centre for physics,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6595/adba86,an updated set of electron impact cross sections for co 2: untangling dissociation and application to co 2 with ar and n 2 admixtures,"this work proposes an updated set of electron impact cross sections (css) for carbon dioxide (co2) by quantitatively identifying co2 dissociation within the two electronic excitation channels proposed by phelps. in particular, the cs with energy threshold at 7 ev is considered with a 15 dissociation branching ratio and is associated with dissociation into o(1d) + co(x), while the one with threshold at 10.5 ev is used entirely for dissociation into o(3p) + co(a3 r). experimental data on co2 dissociation rate coefficients at moderate reduced electric field (e/n), co2 conversion efficiencies at high e/n, and electron transport coefficients for e/n 10 2, 103 td are used to validate the updated set and demonstrate its completeness and consistency over a wide range of e/n. notably, the updated cs set enables the full coupling between the electron and chemical kinetics, a feature lacking in most existing cs sets. the updated set is applied to study electron kinetics in co2 ar and co2 n2 mixtures, revealing significant modifications in the electron energy distribution function and co2 dissociation rate coefficient due to mixture composition. the updated cs set is made available at the ist lisbon database within lxcat.","Liu, Yang;Silva, Tiago;Dias, Tiago C.;Viegas, Pedro;Zhao, Xiangen;Du, Yaping;He, Junjia;Guerra, Vasco",michigan engineering;huazhong university of science and technology;the hong kong polytechnic university;instituto superior técnico,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6595/adbd71,positive streamer discharge simulations in humid air: uncertainty in input data and sensitivity analysis,"we study how the choice of input data affects simulations of positive streamers in humid air, focusing on h2o cross sections, photoionization models, and chemistry sets. simulations are performed in air with a mole fraction of 0 , 3 or 10 h2o using an axisymmetric fluid model. five h2o cross section sets are considered, which lead to significant differences in the resulting electron attachment coefficient. as a result, the streamer velocity can vary by up to about 50 with 10 h2o. we compare results with three photoionization models: the naidis model for humid air, the aints model for humid air, and the standard zheleznyak model for dry air. with the naidis and in particular the aints model, there is a significant reduction in photoionization with higher humidities. this results in higher streamer velocities and maximal electric fields, and it can also cause streamer branching in our axisymmetric simulations. three humid air chemistry sets are considered. differences between these sets, particularly in the formation of water clusters around positive ions, cause the streamer velocity to vary by up to about 50 with 10 h2o. a sensitivity analysis is performed to identify the most important chemical reactions in these chemistries.","Guo, Baohong;Malla, Hemaditya;Malagón-Romero, Alejandro;Teunissen, Jannis",fuzhou university;centrum wiskunde & informatica,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6463/ad8fb9,streamer propagation dynamics in a nanosecond pulsed surface dielectric barrier discharge in he/n 2 mixtures,"an atmospheric pressure surface dielectric barrier discharge in helium nitrogen mixtures is investigated experimentally using phase resolved optical emission spectroscopy and computationally employing a two dimensional simulation framework. a good qualitative agreement between experiments and simulations is found. it is shown that by applying microsecond or nanosecond driving voltage waveform pulses, the discharge exhibits filamentary or homogeneous structures. the time evolution/propagation of the homogeneous surface ionization wave for different nitrogen admixtures, pressures, and applied voltage is studied and analyzed. both, simulations and experiments indicate that for the positive applied voltage pulse, a streamer possessing the typical dynamics of the positive streamer is ignited on the powered side of the electrode. at the same time, on the grounded sides, two streamers are formed: one possessing the dynamics of a negative streamer, which propagates towards the center of the cell of the electrode grid, and a positive one in the opposite direction. it is also shown that the positive streamers on the powered side are partly responsible for the velocity of the negative streamers on the grounded side. simulations show a deceleration of the negative streamers as soon as two positive streamers collide and then close to the meeting point vanish due to the repulsive electrostatic interactions between them. additionally, from the time resolved measurements of the emission signal, the quenching rate constants of the he i (3 s) 3s1 state by collisions with helium and nitrogen are determined to be 9 ( 4 ) 10 12 cm3 s 1 and 3 ( 1 ) 10 10 cm3 s 1, respectively at t = 400 50 k.","Hübner, Gerrit;Wilczek, Sebastian;Schoeneweihs, Nils;Filla, Dominik;Mussenbrock, Thomas;Korolov, Ihor",ruhr universitat bochum,ruhr universitat bochum,2025
10.1002/ppap.201600098,10.1088/1361-6595/adac0b,on the origins of the continuum radiation of an underwater nanosecond pulsed discharge: an absolute intensity optical emission spectroscopy study,"the plasma properties of an underwater nanosecond pulsed discharge remain not fully understood despite being extensively studied for several decades. in this work, we focus on the continuum radiation generated in such discharges. the discharge is characterized by power measurements as well as by absolute emission spectroscopy. when observed, stark broadenings of h , h and o (777 nm) are employed for electron number densities measurements. the discharge was generated by a 10 ns main voltage pulse followed by multiple secondary pulses, which last up to 4 s after the primary pulse. it is shown that a peak power of 3.5 mw and energy of 35 mj is coupled during the main voltage pulse. a quantitative estimation of the different possible continuum radiation sources is performed through analytical calculations. this includes emission (blackbody, free bound and free free bremsstrahlung radiations) and absorption (electron ion and electron neutral free free inverse bremsstrahlung) mechanisms. our results suggest that electron neutral free free bremsstrahlung is the principal mechanism responsible for the strong continuum radiation observed experimentally during the primary pulse. we also show that self absorption through electron neutral (and electron ion) inverse bremsstrahlung plays an important role in the main discharge pulse. further, our results indicate the non negligible additional contribution of the h2 continuum during the first reflected pulse which is likely ignited in bubbles generated by the first discharge pulse.","Simeni Simeni, Marien;Luo, Yuchen;Bruggeman, Peter J.",college of science and engineering,plasma sources science and technology,2025
