Gas_Symbol,Gas_name
Ar,argon
BCl,chloroboron
BCl2,dichloroboron
BCl3,trichloroborane
BF3,trifluoroborane
Be,beryllium
C,carbon
C2,ethyne
C2H2,acetylene
C2H4,ethene
C2H6,ethane
C2OH6,ethanol
C3,cyclopropatriene
C3H4,prop-1-yne
C3H6,prop-1-ene
C3H8,propane
C3N,cyanoethynyl radical
C4F7N,"2,2,3,3,4,4,4-heptafluorobutanenitrile"
C5F10O,"1,1,1,2,2,3,3-heptafluoro-3-(1,2,2-trifluoroethenoxy)propane"
CCl2F2,dichloro(difluoro)methane
CCl4,tetrachloromethane
CF,carbon;fluoride
CF2,difluoromethylene
CF3I,trifluoro(iodo)methane
CF4,tetrafluoromethane
CH,carbon(1-) monohydride
CH2,methylene
CH3,carbanylium
CH4,methane
CHF3,fluoroform
CNH,formonitrile
CO,carbon monoxide
CO2,carbon dioxide
CONH3,formamide
COS,sulfanylidenemethanone
CS,methanidylidynesulfanium
CaF,calcium;fluoride
Cl2,molecular chlorine
Cu,copper
D2,molecular hydrogen
DT,deuterium–tritium
F,fluorine
F2,molecular fluorine
F2O,fluoro hypofluorite
H,hydrogen
H2,molecular hydrogen
H2O,oxidane
H2S,sulfane
H4C,methane
HBr,bromane
HCHO,formaldehyde
HCN,formonitrile
HCP,methylidynephosphane
HCl,chlorane
HD,molecular hydrogen
HT,hydroxytyrosol
He,helium
Hg,mercury
Kr,krypton
Mg,magnesium
N,nitrogen
N2,molecular nitrogen
N2O,nitrous oxide
NF3,nitrogen trifluoride
NH3,azane
NO,nitric oxide
NO2,nitrite
Na,sodium
Ne,neon
O,oxygen
O2,molecular oxygen
O3,ozone
O-,oxidane
PH3,phosphane
SF,thiohypofluorite
SF2,fluoro thiohypofluorite
SF3,trifluorosulfanium
SF4,tetrafluoro-lambda4-sulfane
SF5,haqzduwrnkkmqy-uhfffaoysa-n
SF6,hexafluoro-lambda6-sulfane
SO2,sulfur dioxide
Si2H6,silylsilane
Si(CH3)4,tetramethylsilane
SiF2,sif2
SiH4,silane
SiO,oxosilicon
Si(OC2H5)4,tetraethyl orthosilicate
T2,epoxytrichothecene toxin (T-2 toxin)
Xe,xenon
C2F4,"1,1,2,2-tetrafluoroethene"
C4F8,"1,1,2,2,3,3,4,4-octafluorocyclobutane"
C4H8O,butanal
C4H8O2,2-methylpropanoic acid
C6F6,"1,2,3,4,5,6-hexafluorobenzene"
C6H6,benzene
COF2,carbonyl difluoride
F6S,hexafluoro-lambda6-sulfane
HCOOH,formic acid
Br,bromine
C2H4O,oxirane
(C2H5)2O,diethyl ether
