chemical_name,resolved_chemical_name
ACH4,
ACol,
AFS,
AHeNe,
AIDA,
AMO,
AMReX,
APAC,
APC,
ARGON,
ARMCO iron,IRON
ASVM,
ATA,
ATE,
ATOL,
ATP,
AZ85721,
Acetamide,acetamide
Acetic acid,acetic acid
Acetone,acetone
Acetylene,ACETYLENE
Adenine,adenine
Ag,SILVER
Al,ALUMINUM
Al162,
Al2O,Aluminium(I) oxide
Al2O2,Al2O2
Al2O3,ALUMINUM OXIDE
AlC3F5C5H9,
AlCl,Aluminum monochloride
AlN,Aluminum nitride
AlO,Aluminum monoxide
AlO2,SCHEMBL3406848
AlOH,"Aluminum(2+), hydroxy-"
AlR3,
Ala,
Alamos,Alamos
Alcohols,
Aldo,haloperidol
Alexa,
Alkane,
Alumina,Emery
Aluminized,
Aluminum,ALUMINUM
Ammonia,ammonia
Anthracite,
Apogee,Regalis
Ar,ARGON
Ar Ã,
Ar þ,
Ar2,Argon dimer
Ar4P,
Ar4S,
ArAr2,SCHEMBL8015959
ArAt,
ArI,
Aramco,
Argon,ARGON
Arin,
AsB,arsinoborane
AsCF4,
AsCO,
AsCO2,
AsEq,
AsH,hydridoarsenic(2.) (triplet)
AsKn0,
AsNe,
AsO2,Arsenenite
AsU,SCHEMBL3440482
AsV,
AsZ,
Aschwanden,
Asp,L-aspartic acid
At10,
At7Pa,
AtE,
AtM,
AtP,
Atomic Oxygen,Atomic oxygen
Atomic hydrogen,Hydrogen
Atomic nitrogen,nitrogen
Atomic oxygen,Atomic oxygen
Au,GOLD
AuGa,
AuGa2,
Avagadro,
Avogadro,
B,BORON
B i,
B r BZ,
B39,SCHEMBL5953949
BAS,
BASECOL,
BASECOL2012,
BBGKY,
BCl3,BORON TRICHLORIDE
BE3,
BEB2,
BED,
BET,
BF3,BORON TRIFLUORIDE
BGK,
BJH,
BMO,
BNC575,
BNC577,
BOL,
BOLSIGþ,
BSO,
BSR,
BSRDT,
BSS702,
Ba,BARIUM
BaO,BARIUM OXIDE
BaTiO3,Barium titanium oxide
BaW,
Barium,BARIUM
Battel,
BdCO2,
BdN2,
BdO2,
BeH,
BeH2,Beryllium hydride
BeX,
Bergantz,
Bernstein,
Beryllium,BERYLLIUM
Betaboltz,
BgSN n,
Bi12SiO20,
Bi2MoO6,VVHXWRLVYFOXMN-UHFFFAOYSA-N
Bilikmen,
Bol,
Boltz,
Bornstein,
Boron,BORON
Boron Nitride,Boron nitride
Bousoltane,
Br,bromide
BrC3HC6H3,
BrCl,BROMINE CHLORIDE
Brescansin,
Brønsted acid,
Bsplines,
Butanal,butyraldehyde
Butane,BUTANE
Butanol,1-butanol
Butanone,2-Butanone
Bx,
ByEq,
Bz,
Börnstein,
C,Carbon  
C Ace,
C qp N e N q,
C1,Carbon  
C10F20O5,97571-69-2
C10HC3HC6H7,
C12H2,"1,3,5,7,9,11-Dodecahexayne"
C14H10,PHENANTHRENE
C16O,
C16O2,
C18O,
C18O2,
C1SIGMA,
C2,ethynid-2-yl
C2F,
C2F3,Trifluorovinyl radical
C2F3N,Trifluoroacetonitrile
C2F4,TETRAFLUOROETHYLENE
C2F4O,Trifluoroacetyl fluoride
C2F5,Pentafluoro ethyl radical
C2F5CN,Pentafluoropropionitrile
C2F6,HEXAFLUOROETHANE
C2F6C4C7H5,
C2FN,
C2H,Ethynyl
C2H2,ACETYLENE
C2H2C2H2,1-BUTEN-3-YNE
C2H2F4,"1,1,1,2-TETRAFLUOROETHANE"
C2H2O,KETENE
C2H2S,Thioketene
C2H3,Vinyl radical
C2H3C3H6,Cyclopentyl radical
C2H3N,ACETONITRILE
C2H3NO,METHYL ISOCYANATE
C2H3O,Acetyl radical
C2H4,ETHYLENE
C2H4C2H3CH2,Cyclopentyl radical
C2H4H2,ETHANE
C2H4O,Oxirane
C2H4O2,acetic acid
C2H4OOH,CHEBI:194240
C2H4S,Thiirane
C2H5,Ethyl radical
C2H5C2H4,
C2H5C2H4C2H2,Cyclohexyl radical
C2H5C3H8C3H7,SCHEMBL453616
