raw_variant,fallback_root_used
A-X,ax
Ammonia_add.amd,ammoniaadd.amd
B-dot,bdot
CH3OH2+,ch3oh2
CRF-20-01-NFRI,crf2001nfri
C–D,c–d
D-dot,ddot
DH340T-25U-03,dh340t25u03
Earth-67P,earth67p
Fulcher,fulcher
H2Ofast,h2ofast
H3+,h3
H3O+,h3o
He2+,he2
Hg(Ar) pencil lamp,hg(ar) pencil lamp
J.D,j.d
K.E.M,k.e.m
Milton,milton
N(2D),n(2d)
N2(A),n2(a)
N2(a’),n2(a’)
N2H+,n2h
NH4+,nh4
NHx,nhx
Na,na
Nagoya,nagoya
Narbonne,narbonne
O(777),o(777)
PHIDRATES,phidrates
Sonnenfroh,sonnenfroh
Sun-comet-line,suncometline
TN280,tn280
UMR7648,umr7648
amino-acid,aminoacid
anions H,anions h
carboxyl,carboxyl
ether.fr,ether.fr
e−,e−
fluorocarbons,fluorocarbons
grapheme,grapheme
halogen,halogen
hydrocarbons,hydrocarbons
hydrogen isotope,hydrogen isotope
hydrogen-impact,hydrogenimpact
"measurement,(4)","measurement,(4)"
metal oxide,metal oxide
metal oxides,metal oxides
nitric,nitric
noble gases,noble gases
primary amines,primary amines
saccharides,saccharides
sulphides,sulphides
terahertz,terahertz
thrusters,thrusters
transition metal,transition metal
transition metal dichalcogenides,transition metal dichalcogenides
tungsten halogen,tungsten halogen
